|directories|
|pdb_dir|pdb/|
|fasta_dir|fasta/|
|gmm_dir|gmm/|

|topology_dictionary|

|molecule_name|color           |fasta_fn        |fasta_id        |pdb_fn            |chain|residue_range  |pdb_offset   |bead_size   |em_residues_per_gaussian   |rigid_body|super_rigid_body|chain_of_super_rigid_bodies|

|MIC60        |dodger blue             |MIC60.fasta    |MIC60_Q16891    |MIC60_tet.pdb                                           |A|1,173            |409     |10    |10   |1   |1  | |
|MIC60        |#3050f8                 |MIC60.fasta    |MIC60_Q16891    |BEADS                                                   | |583,587          |0   	  |10    |10   |    |1  | |
|MIC60        |#3050f8                 |MIC60.fasta    |MIC60_Q16891    |MIC60.pdb                                               |A|588,626          |0   	  |10    |10   |2   |1  | |
|MIC60        |#006bff                 |MIC60.fasta    |MIC60_Q16891    |MIC60_19.pdb                                            |A|1,22             |626     |10    |10   |3   |1  | |
|MIC60        |#006bff                 |MIC60.fasta    |MIC60_Q16891    |BEADS                                                   | |649,682          |0   	  |5     |5    |4   |1  | |
|MIC60        |#006bff                 |MIC60.fasta    |MIC60_Q16891    |MIC60_19.pdb                                            |A|57,125           |626     |10    |10   |3   |1  | |
|MIC60        |#006bff                 |MIC60.fasta    |MIC60_Q16891    |BEADS                                                   | |752,758          |0   	  |10    |10   |    |1  | |

|MIC60.1      |dodger blue             |MIC60.fasta    |MIC60_Q16891    |MIC60_tet.pdb                                           |B|174,346          |236     |10    |10   |1   |2  | |
|MIC60.1      |#3050f8                 |MIC60.fasta    |MIC60_Q16891    |BEADS                                                   | |583,587          |0   	  |10    |10   |    |2  | |
|MIC60.1      |#3050f8                 |MIC60.fasta    |MIC60_Q16891    |MIC60.pdb                                               |A|588,626          |0   	  |10    |10   |5   |2  | |
|MIC60.1      |#006bff                 |MIC60.fasta    |MIC60_Q16891    |MIC60_19.pdb                                            |C|167,188          |460 	  |10    |10   |3   |2  | |
|MIC60.1      |#006bff                 |MIC60.fasta    |MIC60_Q16891    |BEADS                                                   | |649,682          |0   	  |5     |5    |6   |2  | |
|MIC60.1      |#006bff                 |MIC60.fasta    |MIC60_Q16891    |MIC60_19.pdb                                            |C|223,291          |460     |10    |10   |3   |2  | |
|MIC60.1      |#006bff                 |MIC60.fasta    |MIC60_Q16891    |BEADS                                                   | |752,758          |0   	  |10    |10   |    |2  | |

|MIC60.2      |sky blue                |MIC60.fasta    |MIC60_Q16891    |MIC60_tet.pdb                                           |C|347,519          |63  	  |10    |10   |1   |3  | |

|MIC60.3      |sky blue                |MIC60.fasta    |MIC60_Q16891    |MIC60_tet.pdb                                           |D|520,692          |-110     |10    |10   |1    |4  | |

|MIC19        |#ffb5b5                 |MIC19.fasta   |MIC19_Q9NX63   |BEADS                                                      | |1,58            |0   	  |10    |10   |    |5  | |
|MIC19        |salmon                  |MIC19.fasta   |MIC19_Q9NX63   |MIC19_initial.pdb                                          |A|59,174          |0  	  |10    |10   |15  |5  | |
|MIC19        |#a67573                 |MIC19.fasta   |MIC19_Q9NX63   |BEADS                                                      | |175,185         |0   	  |10    |10   |    |5  | |
|MIC19        |#a67573                 |MIC19.fasta   |MIC19_Q9NX63   |MIC60_19.pdb                                               |B|126,167         |60  	  |10    |10   |3   |5  | |

|MIC19.1      |#ffd6e0                 |MIC19.fasta   |MIC19_Q9NX63   |BEADS                                                      | |1,58            |0   	  |10    |10   |    |6  | |
|MIC19.1      |#cc8f84                 |MIC19.fasta   |MIC19_Q9NX63   |MIC19_initial.pdb                                          |A|59,174          |0  	  |10    |10   |16  |6  | |

|MIC19.2      |#a6544d                 |MIC19.fasta   |MIC19_Q9NX63   |MIC60_19.pdb                                               |D|292,333         |-106    |10    |10   |3   |7  | |

|MIC10        |#ffa100                 |MIC10.fasta   |MIC10_Q5TGZ0   |MIC10.pdb                                               |A|1,12           |0   	  |10    |10   |17  |8  | |
|MIC10        |#ffa100                 |MIC10.fasta   |MIC10_Q5TGZ0   |MIC10_dimer_TM_MIC13_TM.pdb                             |A|13,36          |0   	  |10    |10   |18  |8  | |
|MIC10        |#d47a00                 |MIC10.fasta   |MIC10_Q5TGZ0   |BEADS                                                   | |37,39          |0   	  |10    |10   |    |8  | |
|MIC10        |#d47a00                 |MIC10.fasta   |MIC10_Q5TGZ0   |MIC10_dimer_TM_MIC13_TM.pdb                             |A|40,60          |0   	  |10    |10   |18  |8  | |
|MIC10        |#e06633                 |MIC10.fasta   |MIC10_Q5TGZ0   |BEADS                                                   | |61,78          |0   	  |10    |10   |    |8  | |

|MIC10.1      |#ffa100                 |MIC10.fasta   |MIC10_Q5TGZ0   |MIC10.pdb                                               |A|1,12           |0   	  |10    |10   |19  |8  | |
|MIC10.1      |#ffa100                 |MIC10.fasta   |MIC10_Q5TGZ0   |MIC10_dimer_TM_MIC13_TM.pdb                             |B|13,36          |0   	  |10    |10   |18  |8  | |
|MIC10.1      |#d47a00                 |MIC10.fasta   |MIC10_Q5TGZ0   |BEADS                                                   | |37,39          |0   	  |10    |10   |    |8  | |
|MIC10.1      |#d47a00                 |MIC10.fasta   |MIC10_Q5TGZ0   |MIC10_dimer_TM_MIC13_TM.pdb                             |B|40,60          |0   	  |10    |10   |18  |8  | |
|MIC10.1      |#e06633                 |MIC10.fasta   |MIC10_Q5TGZ0   |BEADS                                                   | |61,78          |0   	  |10    |10   |    |8  | |

